Rownum,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Mean AQI
407497,0.017083,0.03,9,28,0.7,0.9,2,10.0,0.3,0.8,7,0.0,32.165217,44.6,19,42,20.0
309463,0.009353,0.011,7,10,0.530435,0.6,8,7.0,0.43913,1.0,4,1.0,23.575,33.3,17,31,12.25
97738,0.068882,0.089,14,159,0.479167,0.8,9,9.0,5.652174,13.0,10,19.0,22.652174,50.0,8,47,58.5
407428,0.020529,0.042,10,39,0.575,0.8,23,9.0,0.034783,0.2,6,0.0,26.504348,42.6,20,40,22.0
120634,0.036353,0.045,12,42,0.325,0.9,9,10.0,7.956522,12.0,8,17.0,18.956522,53.0,9,50,29.75
97620,0.038647,0.054,10,50,0.3625,0.5,9,6.0,2.769231,7.0,9,10.0,5.3333330000000005,6.0,0,6,18.0
120675,0.015824,0.024,11,22,0.4625,1.0,8,11.0,7.478261,9.0,5,13.0,29.130435,49.0,1,46,23.0
438623,0.037353,0.042,12,39,0.314286,0.5,7,6.0,-0.0125,0.2,7,0.0,13.804545,24.0,6,23,17.0
341816,0.011091,0.022,13,20,0.325,0.6,10,7.0,0.7,2.2,21,3.0,19.386667000000006,27.8,7,25,13.75
197422,0.033353,0.036,10,33,0.258333,0.4,9,5.0,1.217391,3.0,9,4.0,9.173913,32.0,6,30,18.0
530681,0.023824,0.049,10,45,0.525,0.7,2,8.0,0.279167,0.7,7,0.0,27.675,45.0,20,42,23.75
562506,0.019636,0.023,13,21,0.175,0.2,16,2.0,0.033333,0.2,14,0.0,9.480952,18.3,6,17,10.0
530608,0.014412,0.029,10,27,0.429167,0.6,22,7.0,0.204167,0.4,6,0.0,25.141667,37.8,21,35,17.25
438423,0.013294,0.018,9,17,0.529167,0.7,4,8.0,0.079167,0.3,7,0.0,25.613636,30.8,16,28,13.25
97118,0.008941,0.018,9,17,1.3125,1.8,9,20.0,7.652174,9.0,5,13.0,40.521739,53.0,9,50,25.0
376402,0.037588,0.049,8,45,0.329167,0.4,8,5.0,0.0,0.0,0,0.0,3.247826,14.4,23,13,15.75
407090,0.020471,0.031,12,29,0.754167,1.1,8,13.0,0.2,0.7,6,0.0,38.718182,53.1,11,50,23.0
562374,0.021294,0.033,11,31,0.220833,0.3,9,3.0,0.0,0.0,0,0.0,7.779167,17.6,6,16,12.5
26789,0.009765,0.017,22,16,0.5875,1.0,19,11.0,2.043478,3.0,5,4.0,31.913043,48.0,17,45,19.0
439011,0.017941,0.025,12,23,0.404167,0.6,0,7.0,0.2125,0.4,3,0.0,15.304167,29.0,23,27,14.25
501265,0.035647,0.046,9,43,0.1875,0.2,0,2.0,0.316667,0.5,22,0.0,2.679167,10.0,22,9,13.5
27050,0.003059,0.005,7,5,2.708333,3.5,8,40.0,6.434783,11.0,5,16.0,55.956522,121.0,12,105,41.5
26038,0.035824,0.068,10,93,1.216667,1.6,9,18.0,0.913043,3.0,9,4.0,33.086957,45.0,9,42,39.25
501173,0.036353,0.051,10,47,0.2,0.2,0,2.0,0.579167,0.6,0,0.0,2.916667,10.7,23,9,14.5
530839,0.035647,0.044,11,41,0.245833,0.3,8,3.0,0.141667,0.4,12,0.0,10.9625,16.2,5,15,14.75
26872,0.039588,0.05,8,46,0.358333,0.4,0,5.0,0.173913,1.0,5,1.0,10.826087,15.0,21,14,16.5
225368,0.005765,0.015,9,14,0.633333,1.2,23,14.0,0.478261,1.0,5,1.0,32.608696,43.0,18,41,17.5
530821,0.034588,0.038,10,35,0.2,0.2,0,2.0,0.0875,0.2,8,0.0,7.545833,12.1,7,11,12.0
168424,0.046706,0.055,10,51,0.2,0.2,0,2.0,2.904762,5.0,5,7.0,2.380952,16.0,5,15,18.75
50972,0.017882,0.031,10,29,1.3625,2.0,8,23.0,2.173913,4.0,5,6.0,35.52173900000001,61.0,9,58,29.0
342728,0.025,0.034,10,31,0.145833,0.2,6,2.0,0.0,0.0,0,0.0,5.342857,17.1,23,16,12.25
562559,0.033353,0.047,10,44,0.225,0.3,9,3.0,0.116667,0.4,12,0.0,9.125,15.3,8,14,15.25
530860,0.028235,0.032,10,30,0.245833,0.3,8,3.0,0.2125,0.5,17,0.0,12.116667,19.3,7,18,12.75
341780,0.038176,0.054,10,50,0.2125,0.3,12,3.0,-0.177778,-0.1,4,0.0,9.134783,16.7,8,15,17.0
531898,0.017462,0.047,11,44,0.53125,0.9,9,10.0,0.705263,1.6,20,1.0,35.0375,45.2,7,42,24.25
470605,0.029059,0.044,9,41,0.0,0.0,0,0.0,0.422727,0.7,23,0.0,3.15,14.5,23,13,13.5
97795,0.016588,0.03,7,28,0.3875,0.6,20,7.0,2.086957,3.0,0,4.0,19.043478,36.0,0,34,18.25
406955,0.021071,0.033,10,31,0.6625,1.0,2,11.0,0.23913,0.6,7,0.0,28.690476,41.1,19,39,20.25
120615,0.049882,0.06,12,67,0.079167,0.2,1,2.0,7.391303999999999,9.0,7,13.0,8.695652,48.0,1,45,31.75
225128,0.027765,0.042,10,39,0.583333,0.6,0,7.0,0.043478,1.0,5,1.0,18.363636,27.0,23,25,18.0
74905,0.015588,0.034,9,31,0.695833,1.1,10,13.0,4.26087,6.0,5,9.0,33.826087,61.0,9,58,27.75
51047,0.007176,0.016,9,15,1.454167,2.1,23,24.0,2.391304,3.0,5,4.0,39.347826,52.0,17,49,23.0
530535,0.0131759999999999,0.03,9,28,0.531579,0.8,5,9.0,0.454167,0.9,17,0.0,22.766667,34.9,19,32,17.25
438667,0.056294,0.078,11,126,0.525,0.6,9,7.0,1.020833,3.4,3,4.0,27.427273,42.4,9,40,44.25
3140,0.025529,0.031,10,29,0.483333,0.6,11,7.0,0.086957,2.0,5,3.0,24.478261,42.0,11,40,19.75
50134,0.038412,0.044,8,41,0.558333,0.6,6,7.0,1.130435,2.0,0,3.0,26.869565,35.0,5,33,21.0
375306,0.009,0.018,9,17,1.041667,1.4,1,16.0,1.109091,2.2,8,3.0,46.495238,67.0,9,65,25.25
142984,0.002353,0.0069999999999999,8,6,1.229167,2.2,23,25.0,3.782609,5.0,8,7.0,43.73913,68.0,15,66,26.0
168473,0.024882,0.033,14,31,0.1,0.1,0,1.0,2.304348,4.0,6,6.0,6.826086999999999,19.0,6,18,14.0
407249,0.038412,0.06,11,67,0.283333,0.4,12,5.0,0.015385,0.2,11,0.0,19.047826,36.2,10,34,26.5
530793,0.029059,0.044,10,41,0.283333,0.4,5,5.0,0.1333329999999999,0.3,5,0.0,12.6875,24.2,5,23,17.25
50811,0.032353,0.049,10,45,0.7375,1.1,6,13.0,1.304348,3.0,5,4.0,22.521739,33.0,1,31,23.25
439731,0.028353,0.05,10,46,0.6625,1.0,8,11.0,1.320833,8.8,8,11.0,22.766667,63.6,8,61,32.25
50747,0.022529,0.043,10,40,0.6125,1.4,23,16.0,0.478261,1.0,5,1.0,34.043478,59.0,19,56,28.25
375672,0.028286,0.038,10,35,0.3,0.3,0,3.0,0.021739,0.2,4,0.0,5.666667,8.6,9,8,11.5
253389,0.025588,0.031,10,29,0.2,0.2,0,2.0,0.130435,0.7,7,0.0,4.508696,26.0,0,25,14.0
341574,0.034176,0.053,10,49,0.3625,0.5,5,6.0,0.4,1.1,4,1.0,17.754545,30.8,2,28,21.0
167863,0.014765,0.037,9,34,0.458333,0.8,23,9.0,1.043478,2.0,8,3.0,35.347826,54.0,19,51,24.25
342017,0.015529,0.033,9,31,0.975,1.4,2,16.0,0.590476,0.9,15,0.0,30.268182,46.6,18,43,22.5
253442,0.032471,0.041,12,38,0.158333,0.2,3,2.0,0.0,0.0,0,0.0,2.995652,5.3,22,5,11.25
142858,0.024235,0.036,10,33,0.1125,0.2,9,2.0,1.6521740000000005,2.0,8,3.0,17.782609,32.0,8,30,17.0
143483,0.050118,0.054,9,50,0.0,0.0,0,0.0,0.8260870000000001,2.0,6,3.0,5.695652,11.0,2,10,15.75
530885,0.031471,0.052,9,48,0.375,0.6,6,7.0,0.429167,1.0,10,1.0,13.975,26.8,0,25,20.25
530745,0.032471,0.046,11,43,0.225,0.3,0,3.0,0.1,0.2,3,0.0,6.466667,20.1,23,19,16.25
562509,0.017882,0.031,8,29,0.2,0.2,0,2.0,0.008333,0.1,1,0.0,3.908333,7.4,0,7,9.5
439449,0.021941,0.036,13,33,0.2125,0.3,0,3.0,0.504545,0.9,12,0.0,20.390909,40.4,23,38,18.5
167639,0.012412,0.024,10,22,0.720833,1.2,10,14.0,0.478261,2.0,10,3.0,35.0,56.0,10,53,23.0
375703,0.033,0.044,9,41,0.216667,0.3,6,3.0,0.178261,1.0,12,1.0,15.142857,25.5,6,24,17.25
562647,0.041706,0.071,10,101,0.3375,0.4,9,5.0,0.2125,0.8,10,0.0,12.7875,33.2,9,31,34.25
500523,0.036588,0.049,10,45,0.25,0.3,0,3.0,0.1875,0.5,13,0.0,8.9375,19.3,6,18,16.5
196618,0.033294,0.056,10,54,0.283333,0.4,11,5.0,0.565217,2.0,10,3.0,21.826087,45.0,10,42,26.0
562824,0.031529,0.064,10,80,0.625,0.9,11,10.0,0.195238,0.6,9,0.0,24.5375,42.4,9,40,32.5
26922,0.022706,0.033,11,31,0.35,0.4,12,5.0,1.782609,3.0,12,4.0,21.956522,43.0,23,41,20.25
407958,0.030118,0.037,7,34,-0.1,-0.1,0,0.0,0.4,0.7,8,0.0,2.118182,11.8,18,10,11.0
96913,0.035235,0.063,11,77,0.908333,1.3,6,15.0,2.304348,5.0,5,7.0,50.130435,93.0,10,93,48.0
501365,0.037824,0.06,10,67,0.316667,0.4,7,5.0,0.2125,0.6,12,0.0,13.604167000000002,24.5,20,23,23.75
142691,0.027824,0.037,11,34,0.391667,0.7,7,8.0,0.0,0.0,0,0.0,15.565217,29.0,1,27,17.25
501282,0.024059,0.029,10,27,0.1,0.1,0,1.0,0.491667,0.8,8,0.0,1.966667,6.8,22,6,8.5
50906,0.030059,0.054,12,50,0.804167,1.0,3,11.0,2.565217,5.0,13,7.0,35.956522,47.0,9,44,28.0
469463,0.029941,0.034,10,31,0.208333,0.3,0,3.0,0.145833,0.4,3,0.0,11.216667,27.3,21,25,14.75
309921,0.025235,0.039,10,36,0.404167,0.7,5,8.0,0.026087,0.6,9,0.0,12.804348,32.0,0,30,18.5
408012,0.0344709999999999,0.043,11,40,0.075,0.1,0,1.0,0.2521739999999999,0.9,7,0.0,6.217391,14.5,6,13,13.5
97792,0.018235,0.032,9,30,0.670833,1.2,1,14.0,2.73913,4.0,10,6.0,27.869565,38.0,21,36,21.5
74689,0.004529,0.01,8,9,1.270833,1.7,3,19.0,2.086957,3.0,1,4.0,31.869565,44.0,16,42,18.5
376405,0.044353,0.071,12,101,0.4625,0.6,3,7.0,0.33913,1.5,21,1.0,20.243478,49.0,22,46,38.75
470463,0.023118,0.033,13,31,0.6625,0.9,7,10.0,0.783333,2.6,11,3.0,22.416667,36.8,10,34,19.5
407069,0.037765,0.045,10,42,0.158333,0.2,0,2.0,0.004348,0.4,4,0.0,11.643478,26.9,0,25,17.25
167864,0.008588,0.022,9,20,0.8625,1.2,8,14.0,1.869565,3.0,6,4.0,46.0,62.0,17,60,24.5
143417,0.023706,0.042,12,39,0.404167,0.8,6,9.0,1.304348,2.0,9,3.0,23.130435,41.0,22,39,22.5
408129,0.019941,0.035,12,32,0.483333,0.8,4,9.0,0.8130430000000001,1.8,11,1.0,26.573913,42.0,23,40,20.5
225830,0.042471,0.054,7,50,0.245833,0.3,6,3.0,2.043478,3.0,5,4.0,3.0,4.0,5,4,15.25
438874,0.035765,0.067,10,90,0.583333,0.7,3,8.0,0.3625,0.6,7,0.0,24.829167,45.4,9,42,35.0
531843,0.027529,0.042,9,39,0.1,0.1,0,1.0,0.15,0.5,21,0.0,4.254167,12.0,21,11,12.75
500240,0.022706,0.039,10,36,0.333333,0.4,1,5.0,0.154167,0.4,5,0.0,22.408333,39.7,22,37,19.5
500721,0.018235,0.027,11,25,0.529167,0.8,2,9.0,0.154167,0.3,2,0.0,15.116667,27.6,7,25,14.75
142715,0.024353,0.037,10,34,0.520833,0.8,1,9.0,0.086957,1.0,7,1.0,22.173913,35.0,8,33,19.25
562982,0.021588,0.044,10,41,0.529167,0.8,2,9.0,0.116667,0.4,20,0.0,16.916667,29.6,20,27,19.25
50814,0.0344709999999999,0.036,10,33,0.491667,0.5,0,6.0,0.652174,2.0,5,3.0,20.782609,29.0,7,27,17.25
225170,0.034882,0.041,13,38,0.329167,0.4,12,5.0,0.130435,2.0,7,3.0,22.307692000000007,30.0,11,28,18.5
592090,0.025882,0.04,9,37,0.5125,0.8,6,9.0,0.254167,0.7,13,0.0,21.45,33.8,6,31,19.25
531909,0.034765,0.051,10,47,0.583333,0.9,5,10.0,0.416667,1.5,11,1.0,20.841667,47.3,1,44,25.5
3304,0.003529,0.006,7,6,3.491667,5.6,23,62.0,5.130434999999999,13.0,5,19.0,98.130435,135.0,14,107,48.5
563175,0.036235,0.039,12,36,0.2,0.3,7,3.0,0.2875,0.5,7,0.0,6.604167,26.8,6,25,16.0
168585,0.002706,0.008,8,7,0.6,1.0,23,11.0,2.73913,6.0,14,9.0,39.347826,55.0,11,52,19.75
3208,0.031059,0.063,11,77,0.6875,1.1,11,13.0,0.26087,3.0,5,4.0,32.260870000000004,69.0,10,67,40.25
375576,0.029214,0.038,9,35,0.461905,0.6,10,7.0,0.2,0.7,7,0.0,16.766667,26.2,7,25,16.75
